fz,s0,s1,s2,s3,time
1.0492362976074219,4.469882170157325,5.1455978992811575,0.7286250662020344,0.37621194351667464,23.229868223
1.0500850677490234,4.476129235348156,5.151415916285748,0.7216964315512912,0.3743794710786323,23.239424138
1.0486888885498047,4.485250032795583,5.156070329889407,0.7161535238307052,0.37291349312819844,23.249962318
1.0475711822509766,4.492546670753532,5.163638667498143,0.7117191976542336,0.3717407107678486,23.259492252
1.0448341369628906,4.498383981119887,5.1696933375851275,0.714512667562741,0.3767484001391368,23.269994211
1.0408000946044922,4.503053829412967,5.174537073654722,0.7104065126398593,0.3807545516361593,23.27946133
1.0375709533691406,4.506789708047442,5.178412062510395,0.7134625195512301,0.3780135575742173,23.289975215
1.0349884033203125,4.509778410955024,5.177667246869127,0.7095663942306535,0.3758207623246718,23.299487575
1.0329208374023438,4.5080462279863145,5.173226587630319,0.7064494939741834,0.37406652612502733,23.309943386
1.0312614440917969,4.51078362690611,5.1735188669650745,0.7102969046186894,0.37266313716531446,23.319389765
1.0299339294433594,4.517096691336738,5.173752690432875,0.7133748331342971,0.37154042599754683,23.329867131
1.027078628540039,4.52214714288124,5.173939749207116,0.728519037646144,0.3706422570633382,23.339427602
1.0229988098144531,4.517941213527276,5.170244589500706,0.7279525395562665,0.3699237219159658,23.349887246
1.019735336303711,4.514576470044117,5.167288461735571,0.7274993410843644,0.3693488937980679,23.359326515
1.0171241760253906,4.507761529962806,5.168768366249276,0.7398186440062008,0.36888903130374695,23.369716345
1.0150337219238281,4.5023095778977495,5.173797096586035,0.7496740863436785,0.36852114130829283,23.379110707
1.0151615142822266,4.5020711615404885,5.177820080855447,0.7512175093639788,0.36822682931192685,23.389605461
1.0150718688964844,4.501880428454683,5.181038468270982,0.7524522477802162,0.36799137971483137,23.398962564
1.0149993896484375,4.497604696691259,5.179768371477604,0.7470991076635155,0.36780302003716037,23.409466245
1.0149421691894531,4.4941841112805125,5.1749074873170935,0.736475664720479,0.36765233229502897,23.419885408
1.016885757446289,4.49144764295193,5.171018779988692,0.7343178412157344,0.3675317821013185,23.429470564
1.0184402465820312,4.4892584682890595,5.167907814125971,0.7389325132616149,0.37338125720591003,23.439997003
1.019683837890625,4.487507128558756,5.165419041435794,0.7426242508983251,0.3780608372895859,23.449501993
